Mã yêu cầu SRS,Hệ thống,Phân hệ,Màn hình/nhóm,Chức năng,Vai trò,Nguồn/trang SRS,Vị trí/giải thích
SRS-4.2.2-05,JPULSE,B,Trang chủ,"Tổng hợp tồn, ATP và cảnh báo",Theo quyền và phạm vi cơ sở,"SRS §4.2.2, tr.75","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: B1"
SRS-4.2.2-06,JPULSE,B,Trang chủ,"Tổng hợp ngân sách, thực chi và lợi nhuận",Theo quyền và phạm vi cơ sở,"SRS §4.2.2, tr.75","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: B1"
SRS-4.2.2-07,JPULSE,B,Trang chủ,Lọc theo cơ sở / kỳ,Theo quyền và phạm vi cơ sở,"SRS §4.2.2, tr.75",Ô B1 trong sơ đồ chi tiết/luồng
SRS-4.2.2-08,JPULSE,B,Trang chủ,Xem chi tiết chỉ số,Theo quyền và phạm vi cơ sở,"SRS §4.2.2, tr.75",Ô B1 trong sơ đồ chi tiết/luồng
SRS-4.2.3-01,JPULSE,C,Kho hàng / Sản phẩm,Quản lý cấu trúc cơ sở,Quản trị / nhân viên kho theo quyền,"SRS §4.2.3, tr.75",Ô C1 trong sơ đồ chi tiết/luồng
SRS-4.2.3-02,JPULSE,C,Kho hàng / Sản phẩm,Quản lý tổ chức,Quản trị / nhân viên kho theo quyền,"SRS §4.2.3, tr.75",Ô C3 trong sơ đồ chi tiết/luồng
SRS-4.2.3-03,JPULSE,C,Kho hàng / Sản phẩm,Quản lý cơ sở,Quản trị / nhân viên kho theo quyền,"SRS §4.2.3, tr.75",Ô C1 trong sơ đồ chi tiết/luồng
SRS-4.2.3-04,JPULSE,C,Kho hàng / Sản phẩm,Quản lý khu vực,Quản trị / nhân viên kho theo quyền,"SRS §4.2.3, tr.75",Ô C1 trong sơ đồ chi tiết/luồng
SRS-4.2.3-05,JPULSE,C,Kho hàng / Sản phẩm,Quản lý ô kệ,Quản trị / nhân viên kho theo quyền,"SRS §4.2.3, tr.75",Ô C1 trong sơ đồ chi tiết/luồng
SRS-4.2.3-06,JPULSE,C,Kho hàng / Sản phẩm,Gán sản phẩm vào ô kệ,Quản trị / nhân viên kho theo quyền,"SRS §4.2.3, tr.75",Ô C1 trong sơ đồ chi tiết/luồng
SRS-4.2.3-07,JPULSE,C,Kho hàng / Sản phẩm,Xem chi tiết cơ sở,Quản trị / nhân viên kho theo quyền,"SRS §4.2.3, tr.75",Ô C1 trong sơ đồ chi tiết/luồng
SRS-4.2.3-08,JPULSE,C,Kho hàng / Sản phẩm,Xem tồn kho theo vị trí,Quản trị / nhân viên kho theo quyền,"SRS §4.2.3, tr.75",Ô C2 trong sơ đồ chi tiết/luồng
SRS-4.2.3-09,JPULSE,C,Kho hàng / Sản phẩm,Kiểm tra mã và quan hệ,Quản trị / nhân viên kho theo quyền,"SRS §4.2.3, tr.75","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: C1"
SRS-4.2.3-10,JPULSE,C,Kho hàng / Sản phẩm,Ghi nhật ký thay đổi,Quản trị / nhân viên kho theo quyền,"SRS §4.2.3, tr.75","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: C1"
SRS-4.2.4-01,JPULSE,C,Kho hàng / Sản phẩm,Quản lý danh mục hàng hóa,Quản trị / nhân viên kho theo quyền,"SRS §4.2.4, tr.76",Ô C4 trong sơ đồ chi tiết/luồng
SRS-4.2.4-02,JPULSE,C,Kho hàng / Sản phẩm,Quản lý sản phẩm,Quản trị / nhân viên kho theo quyền,"SRS §4.2.4, tr.76",Ô C4 trong sơ đồ chi tiết/luồng
SRS-4.2.4-03,JPULSE,C,Kho hàng / Sản phẩm,Quản lý danh mục sản phẩm,Quản trị / nhân viên kho theo quyền,"SRS §4.2.4, tr.76",Ô C5 trong sơ đồ chi tiết/luồng
SRS-4.2.4-04,JPULSE,C,Kho hàng / Sản phẩm,Cấu hình BOM,Quản trị / nhân viên kho theo quyền,"SRS §4.2.4, tr.76",Ô C4 trong sơ đồ chi tiết/luồng
SRS-4.2.4-05,JPULSE,C,Kho hàng / Sản phẩm,Cấu hình chính sách tồn,Quản trị / nhân viên kho theo quyền,"SRS §4.2.4, tr.76",Ô C4 trong sơ đồ chi tiết/luồng
SRS-4.2.4-06,JPULSE,C,Kho hàng / Sản phẩm,Xem đơn giá,Quản trị / nhân viên kho theo quyền,"SRS §4.2.4, tr.76",Ô C4 trong sơ đồ chi tiết/luồng
SRS-4.2.4-07,JPULSE,C,Kho hàng / Sản phẩm,Tìm kiếm và lọc,Quản trị / nhân viên kho theo quyền,"SRS §4.2.4, tr.76",Ô C4 trong sơ đồ chi tiết/luồng
SRS-4.2.4-08,JPULSE,C,Kho hàng / Sản phẩm,"Kiểm tra mã, quan hệ và dữ liệu",Quản trị / nhân viên kho theo quyền,"SRS §4.2.4, tr.76","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: C4"
SRS-4.2.4-09,JPULSE,C,Kho hàng / Sản phẩm,Ghi nhật ký thay đổi,Quản trị / nhân viên kho theo quyền,"SRS §4.2.4, tr.76","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: C4"
SRS-4.2.5-01,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Tạo chứng từ tồn kho,Người lập phiếu / nhân viên kho / người duyệt theo bước,"SRS §4.2.5, tr.77",Ô D1 / F01 trong sơ đồ chi tiết/luồng
SRS-4.2.5-02,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Tạo phiếu nhập,Người lập phiếu / nhân viên kho / người duyệt theo bước,"SRS §4.2.5, tr.77",Ô D1 / F01 trong sơ đồ chi tiết/luồng
SRS-4.2.5-03,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Tạo phiếu xuất,Người lập phiếu / nhân viên kho / người duyệt theo bước,"SRS §4.2.5, tr.77",Ô D1 / F01 trong sơ đồ chi tiết/luồng
SRS-4.2.5-04,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Tạo lệnh điều chuyển,Người lập phiếu / nhân viên kho / người duyệt theo bước,"SRS §4.2.5, tr.77",Ô D1 / F01 trong sơ đồ chi tiết/luồng
SRS-4.2.5-05,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Tải cấu hình quy trình,Người lập phiếu / nhân viên kho / người duyệt theo bước,"SRS §4.2.5, tr.77","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: D1 / F01"
SRS-4.2.5-06,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,"Kiểm tra quyền, sản phẩm, vị trí và ATP",Người lập phiếu / nhân viên kho / người duyệt theo bước,"SRS §4.2.5, tr.77","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: D1 / F01"
SRS-4.2.5-07,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Yêu cầu phê duyệt,Người lập phiếu / nhân viên kho / người duyệt theo bước,"SRS §4.2.5, tr.77",Ô D1 / F01 trong sơ đồ chi tiết/luồng
SRS-4.2.5-08,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Ghi nhận thực nhập,Người lập phiếu / nhân viên kho / người duyệt theo bước,"SRS §4.2.5, tr.77",Ô D1 / F01 trong sơ đồ chi tiết/luồng
SRS-4.2.5-09,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Ghi nhận soạn hàng,Người lập phiếu / nhân viên kho / người duyệt theo bước,"SRS §4.2.5, tr.77",Ô D1 / F01 trong sơ đồ chi tiết/luồng
SRS-4.2.5-10,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Hoàn tất xuất hàng,Người lập phiếu / nhân viên kho / người duyệt theo bước,"SRS §4.2.5, tr.77",Ô D1 / F01 trong sơ đồ chi tiết/luồng
SRS-4.2.5-11,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Nhận hàng điều chuyển,Người lập phiếu / nhân viên kho / người duyệt theo bước,"SRS §4.2.5, tr.77",Ô D1 / F01 trong sơ đồ chi tiết/luồng
SRS-4.2.5-12,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Cập nhật tồn kho,Người lập phiếu / nhân viên kho / người duyệt theo bước,"SRS §4.2.5, tr.77","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: D1 / F01"
SRS-4.2.5-13,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Theo dõi chứng từ và timeline,Người lập phiếu / nhân viên kho / người duyệt theo bước,"SRS §4.2.5, tr.77",Ô D1 / F01 trong sơ đồ chi tiết/luồng
SRS-4.2.6-01,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Ra quyết định duyệt,Người duyệt; người xử lý ngoại lệ theo quyền,"SRS §4.2.6, tr.78",Ô D2 / F01 trong sơ đồ chi tiết/luồng
SRS-4.2.6-02,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Phê duyệt,Người duyệt; người xử lý ngoại lệ theo quyền,"SRS §4.2.6, tr.78",Ô D2 / F01 trong sơ đồ chi tiết/luồng
SRS-4.2.6-03,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Từ chối,Người duyệt; người xử lý ngoại lệ theo quyền,"SRS §4.2.6, tr.78",Ô D2 / F01 trong sơ đồ chi tiết/luồng
SRS-4.2.6-04,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Cấu hình quy trình,Người duyệt; người xử lý ngoại lệ theo quyền,"SRS §4.2.6, tr.78",Ô D3 trong sơ đồ chi tiết/luồng
SRS-4.2.6-05,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Xem việc cần xử lý,Người duyệt; người xử lý ngoại lệ theo quyền,"SRS §4.2.6, tr.78",Ô D2 / F01 trong sơ đồ chi tiết/luồng
SRS-4.2.6-06,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Xem timeline phê duyệt,Người duyệt; người xử lý ngoại lệ theo quyền,"SRS §4.2.6, tr.78",Ô D2 / F01 trong sơ đồ chi tiết/luồng
SRS-4.2.6-07,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,"Kiểm tra quyền, cấp duyệt và OTP",Người duyệt; người xử lý ngoại lệ theo quyền,"SRS §4.2.6, tr.78","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: D2 / F01"
SRS-4.2.6-08,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Hủy / khởi động lại quy trình,Người duyệt; người xử lý ngoại lệ theo quyền,"SRS §4.2.6, tr.78",Ô D3 trong sơ đồ chi tiết/luồng
SRS-4.2.6-09,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Xử lý báo cáo không phù hợp,Người duyệt; người xử lý ngoại lệ theo quyền,"SRS §4.2.6, tr.78",Ô D5 / F02 trong sơ đồ chi tiết/luồng
SRS-4.2.6-10,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Cập nhật cách ly và tồn kho,Người duyệt; người xử lý ngoại lệ theo quyền,"SRS §4.2.6, tr.78",Ô D5 / F02 trong sơ đồ chi tiết/luồng
SRS-4.2.6-11,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Ghi nhật ký,Người duyệt; người xử lý ngoại lệ theo quyền,"SRS §4.2.6, tr.78","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: D2 / F01"
SRS-4.2.7-01,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Xử lý phiên kiểm kê,Người kiểm kê; người xử lý ngoại lệ khác người ghi nhận,"SRS §4.2.7, tr.79",Ô D4 / F02 trong sơ đồ chi tiết/luồng
SRS-4.2.7-02,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Tạo phiên kiểm kê,Người kiểm kê; người xử lý ngoại lệ khác người ghi nhận,"SRS §4.2.7, tr.79",Ô D4 / F02 trong sơ đồ chi tiết/luồng
SRS-4.2.7-03,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Nhập kết quả kiểm đếm,Người kiểm kê; người xử lý ngoại lệ khác người ghi nhận,"SRS §4.2.7, tr.79",Ô D4 / F02 trong sơ đồ chi tiết/luồng
SRS-4.2.7-04,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Gửi kết quả,Người kiểm kê; người xử lý ngoại lệ khác người ghi nhận,"SRS §4.2.7, tr.79",Ô D4 / F02 trong sơ đồ chi tiết/luồng
SRS-4.2.7-05,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Hủy phiên,Người kiểm kê; người xử lý ngoại lệ khác người ghi nhận,"SRS §4.2.7, tr.79",Ô D4 / F02 trong sơ đồ chi tiết/luồng
SRS-4.2.7-06,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Chụp số tồn làm mốc,Người kiểm kê; người xử lý ngoại lệ khác người ghi nhận,"SRS §4.2.7, tr.79","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: D4 / F02"
SRS-4.2.7-07,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Tính chênh lệch,Người kiểm kê; người xử lý ngoại lệ khác người ghi nhận,"SRS §4.2.7, tr.79","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: D4 / F02"
SRS-4.2.7-08,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Đính kèm bằng chứng,Người kiểm kê; người xử lý ngoại lệ khác người ghi nhận,"SRS §4.2.7, tr.79",Ô D4 / F02 trong sơ đồ chi tiết/luồng
SRS-4.2.7-09,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Kiểm đếm lại,Người kiểm kê; người xử lý ngoại lệ khác người ghi nhận,"SRS §4.2.7, tr.79",Ô D4 / F02 trong sơ đồ chi tiết/luồng
SRS-4.2.7-10,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Tạo báo cáo không phù hợp,Người kiểm kê; người xử lý ngoại lệ khác người ghi nhận,"SRS §4.2.7, tr.79",Ô D5 / F02 trong sơ đồ chi tiết/luồng
SRS-4.2.8-01,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Tác nghiệp ngoài,Người quét / người duyệt batch theo quyền,"SRS §4.2.8, tr.80",Ô D6 trong sơ đồ chi tiết/luồng
SRS-4.2.8-02,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Kiểm kê đầu / cuối ca,Người quét / người duyệt batch theo quyền,"SRS §4.2.8, tr.80",Ô D6 trong sơ đồ chi tiết/luồng
SRS-4.2.8-03,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Quét sản phẩm,Người quét / người duyệt batch theo quyền,"SRS §4.2.8, tr.80",Ô D6 trong sơ đồ chi tiết/luồng
SRS-4.2.8-04,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Chốt batch,Người quét / người duyệt batch theo quyền,"SRS §4.2.8, tr.80",Ô D6 trong sơ đồ chi tiết/luồng
SRS-4.2.8-05,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Xác thực API key và phạm vi,Người quét / người duyệt batch theo quyền,"SRS §4.2.8, tr.80","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: D6"
SRS-4.2.8-06,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Giữ số lượng khỏi ATP,Người quét / người duyệt batch theo quyền,"SRS §4.2.8, tr.80","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: D6"
SRS-4.2.8-07,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Xử lý batch,Người quét / người duyệt batch theo quyền,"SRS §4.2.8, tr.80","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: D6"
SRS-4.2.8-08,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Phê duyệt batch,Người quét / người duyệt batch theo quyền,"SRS §4.2.8, tr.80",Ô D6 trong sơ đồ chi tiết/luồng
SRS-4.2.8-09,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Từ chối batch,Người quét / người duyệt batch theo quyền,"SRS §4.2.8, tr.80",Ô D6 trong sơ đồ chi tiết/luồng
SRS-4.2.8-10,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Sửa số lượng / hủy lượt quét,Người quét / người duyệt batch theo quyền,"SRS §4.2.8, tr.80",Ô D6 trong sơ đồ chi tiết/luồng
SRS-4.2.8-11,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Tạo báo cáo không phù hợp,Người quét / người duyệt batch theo quyền,"SRS §4.2.8, tr.80",Ô D6 trong sơ đồ chi tiết/luồng
SRS-4.2.8-12,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Tự động gửi / duyệt theo cấu hình,Người quét / người duyệt batch theo quyền,"SRS §4.2.8, tr.80","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: D6"
SRS-4.2.8-13,JPULSE,D,Tạo lệnh / Việc cần xử lý / Kiểm kê,Cấu hình lịch và sản phẩm được quét,Người quét / người duyệt batch theo quyền,"SRS §4.2.8, tr.80",Ô D6 trong sơ đồ chi tiết/luồng
SRS-4.2.9-01,JPULSE,E,Chi phí / Doanh thu,Nhập liệu chi phí,Người nhập liệu; quản lý / kế toán; người chốt kỳ theo quyền,"SRS §4.2.9, tr.81",Ô E1 / F07 trong sơ đồ chi tiết/luồng
SRS-4.2.9-02,JPULSE,E,Chi phí / Doanh thu,Cập nhật dòng cố định,Người nhập liệu; quản lý / kế toán; người chốt kỳ theo quyền,"SRS §4.2.9, tr.81",Ô E1 / F07 trong sơ đồ chi tiết/luồng
SRS-4.2.9-03,JPULSE,E,Chi phí / Doanh thu,Quản lý dòng tự tạo,Người nhập liệu; quản lý / kế toán; người chốt kỳ theo quyền,"SRS §4.2.9, tr.81",Ô E1 / F07 trong sơ đồ chi tiết/luồng
SRS-4.2.9-04,JPULSE,E,Chi phí / Doanh thu,Nhập từ Excel,Người nhập liệu; quản lý / kế toán; người chốt kỳ theo quyền,"SRS §4.2.9, tr.81",Ô E1 / F07 trong sơ đồ chi tiết/luồng
SRS-4.2.9-05,JPULSE,E,Chi phí / Doanh thu,Kiểm tra kỳ còn mở và dữ liệu,Người nhập liệu; quản lý / kế toán; người chốt kỳ theo quyền,"SRS §4.2.9, tr.81","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: E1 / F07"
SRS-4.2.9-06,JPULSE,E,Chi phí / Doanh thu,Ghi nhật ký thay đổi,Người nhập liệu; quản lý / kế toán; người chốt kỳ theo quyền,"SRS §4.2.9, tr.81","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: E1 / F07"
SRS-4.2.9-07,JPULSE,E,Chi phí / Doanh thu,Quản lý kỳ kế toán,Người nhập liệu; quản lý / kế toán; người chốt kỳ theo quyền,"SRS §4.2.9, tr.81",Ô E1 / F07 trong sơ đồ chi tiết/luồng
SRS-4.2.9-08,JPULSE,E,Chi phí / Doanh thu,Chốt kỳ,Người nhập liệu; quản lý / kế toán; người chốt kỳ theo quyền,"SRS §4.2.9, tr.81",Ô E1 / F07 trong sơ đồ chi tiết/luồng
SRS-4.2.9-09,JPULSE,E,Chi phí / Doanh thu,Mở lại kỳ,Người nhập liệu; quản lý / kế toán; người chốt kỳ theo quyền,"SRS §4.2.9, tr.81",Ô E1 / F07 trong sơ đồ chi tiết/luồng
SRS-4.2.9-10,JPULSE,E,Chi phí / Doanh thu,Xem báo cáo chi phí,Người nhập liệu; quản lý / kế toán; người chốt kỳ theo quyền,"SRS §4.2.9, tr.81",Ô E2 / F07 trong sơ đồ chi tiết/luồng
SRS-4.2.9-11,JPULSE,E,Chi phí / Doanh thu,Lọc theo cơ sở và kỳ,Người nhập liệu; quản lý / kế toán; người chốt kỳ theo quyền,"SRS §4.2.9, tr.81",Ô E2 / F07 trong sơ đồ chi tiết/luồng
SRS-4.2.10-01,JPULSE,E,Chi phí / Doanh thu,Tạo báo cáo,Quản lý / kế toán; người quản lý mẫu theo quyền,"SRS §4.2.10, tr.82",Ô E4 / F04 trong sơ đồ chi tiết/luồng
SRS-4.2.10-02,JPULSE,E,Chi phí / Doanh thu,Xuất báo cáo doanh thu,Quản lý / kế toán; người quản lý mẫu theo quyền,"SRS §4.2.10, tr.82",Ô E4 / F04 trong sơ đồ chi tiết/luồng
SRS-4.2.10-03,JPULSE,E,Chi phí / Doanh thu,Xuất báo cáo theo mẫu,Quản lý / kế toán; người quản lý mẫu theo quyền,"SRS §4.2.10, tr.82",Ô E5 trong sơ đồ chi tiết/luồng
SRS-4.2.10-04,JPULSE,E,Chi phí / Doanh thu,Đồng bộ dữ liệu doanh thu,Quản lý / kế toán; người quản lý mẫu theo quyền,"SRS §4.2.10, tr.82","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: E4 / F04"
SRS-4.2.10-05,JPULSE,E,Chi phí / Doanh thu,Xem dashboard doanh thu,Quản lý / kế toán; người quản lý mẫu theo quyền,"SRS §4.2.10, tr.82",Ô E3 / F04 trong sơ đồ chi tiết/luồng
SRS-4.2.10-06,JPULSE,E,Chi phí / Doanh thu,Tổng hợp KPI và biểu đồ,Quản lý / kế toán; người quản lý mẫu theo quyền,"SRS §4.2.10, tr.82","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: E3 / F04"
SRS-4.2.10-07,JPULSE,E,Chi phí / Doanh thu,Xem chi tiết đơn hàng,Quản lý / kế toán; người quản lý mẫu theo quyền,"SRS §4.2.10, tr.82",Ô E3 / F04 trong sơ đồ chi tiết/luồng
SRS-4.2.10-08,JPULSE,E,Chi phí / Doanh thu,Quản lý mẫu báo cáo,Quản lý / kế toán; người quản lý mẫu theo quyền,"SRS §4.2.10, tr.82",Ô E5 trong sơ đồ chi tiết/luồng
SRS-4.2.10-09,JPULSE,E,Chi phí / Doanh thu,Cấu hình ánh xạ ô,Quản lý / kế toán; người quản lý mẫu theo quyền,"SRS §4.2.10, tr.82",Ô E5 trong sơ đồ chi tiết/luồng
SRS-4.2.10-10,JPULSE,E,Chi phí / Doanh thu,Xem trước dữ liệu mẫu,Quản lý / kế toán; người quản lý mẫu theo quyền,"SRS §4.2.10, tr.82",Ô E5 trong sơ đồ chi tiết/luồng
SRS-4.2.11-01,JPULSE,F,Hóa đơn điện tử,Phát hành hóa đơn,Kế toán,"SRS §4.2.11, tr.83",Ô F3 / F03 trong sơ đồ chi tiết/luồng
SRS-4.2.11-02,JPULSE,F,Hóa đơn điện tử,Phát hành đơn lẻ,Kế toán,"SRS §4.2.11, tr.83",Ô F3 / F03 trong sơ đồ chi tiết/luồng
SRS-4.2.11-03,JPULSE,F,Hóa đơn điện tử,Phát hành hàng loạt,Kế toán,"SRS §4.2.11, tr.83",Ô F3 / F03 trong sơ đồ chi tiết/luồng
SRS-4.2.11-04,JPULSE,F,Hóa đơn điện tử,Cấu hình meInvoice theo cơ sở,Quản trị cấu hình,"SRS §4.2.11, tr.83",Ô F1 trong sơ đồ chi tiết/luồng
SRS-4.2.11-05,JPULSE,F,Hóa đơn điện tử,Đồng bộ đơn hàng nguồn,Kế toán,"SRS §4.2.11, tr.83",Ô F2 / F03 trong sơ đồ chi tiết/luồng
SRS-4.2.11-06,JPULSE,F,Hóa đơn điện tử,Chuẩn bị chứng từ hóa đơn,Kế toán,"SRS §4.2.11, tr.83","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: F3 / F03"
SRS-4.2.11-07,JPULSE,F,Hóa đơn điện tử,Chỉnh sửa chứng từ,Kế toán,"SRS §4.2.11, tr.83",Ô F3 / F03 trong sơ đồ chi tiết/luồng
SRS-4.2.11-08,JPULSE,F,Hóa đơn điện tử,Xem trước và preflight,Kế toán,"SRS §4.2.11, tr.83",Ô F3 / F03 trong sơ đồ chi tiết/luồng
SRS-4.2.11-09,JPULSE,F,Hóa đơn điện tử,Gọi meInvoice và ghi sổ,Kế toán,"SRS §4.2.11, tr.83","Bước xử lý/kiểm soát tự động, không phải nút điều hướng; ngữ cảnh: F3 / F03"
